STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVGF,TAVG_ATTRIBUTES,TMAXF,TMAX_ATTRIBUTES,TMINF,TMIN_ATTRIBUTES,,,TAVG,TMAX,TMIN
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/11,59,"H,,S",74,",,S",,,,,15,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/12,60,"H,,S",76,",,S",,,,,16,24,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/13,60,"H,,S",76,",,S",,,,,16,24,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/14,64,"H,,S",77,",,S",49,",,S",,,18,25,9
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/15,63,"H,,S",77,",,S",,,,,17,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/16,65,"H,,S",78,",,S",,,,,18,26,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/17,65,"H,,S",80,",,S",51,",,S",,,18,27,11
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/18,65,"H,,S",80,",,S",,,,,18,27,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/19,67,"H,,S",80,",,S",51,",,S",,,19,27,11
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/20,65,"H,,S",80,",,S",,,,,18,27,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/21,45,"H,,S",,,,,,,7,,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/22,43,"H,,S",58,",,S",,,,,6,14,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/23,57,"H,,S",74,",,S",42,",,S",,,14,23,6
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/24,62,"H,,S",76,",,S",47,",,S",,,17,24,8
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/25,65,"H,,S",77,",,S",53,",,S",,,18,25,12
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/26,66,"H,,S",77,",,S",,,,,19,25,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/27,65,"H,,S",80,",,S",,,,,18,27,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/28,65,"H,,S",81,",,S",49,",,S",,,18,27,9
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/29,67,"H,,S",81,",,S",53,",,S",,,19,27,12
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/30,65,"H,,S",80,",,S",,,,,18,27,
